,Station,Latitude,Longitude
0,Astore,35.2411043,74.87497266811832
1,Bahawalpur,29.3544,71.6911
2,Badin,24.7566588,68.84961066168489
3,Balakot,34.51928895,73.35371540232612
4,Barkhan,29.9003125,69.5230398
5,Bunji,35.6527032,74.6287283
6,Cherat,33.8241769,71.8965727
7,DI khan,31.827527,70.9090919
8,Dalbandin,28.8963483,64.4097124
9,Dir,35.2080144,71.8779773
10,Drosh,35.5616271,71.797564
11,Faisalabad,31.4220558,73.0923253
12,Gilgit,35.8858919,74.4693848
13,Gupis,36.177172,73.1795694
14,Hyderabad,25.3801017,68.3750376
15,Islamabad,33.6938118,73.0651511
16,Jacobabad,28.2813094,68.4364361
17,Jhelum,32.9247256,73.719388
18,Kakul,34.2036015,73.282008
19,Karachi,24.8546842,67.0207055
20,Khanpur,28.6477403,70.656008
21,Kohat,33.5967144,71.4399944
22,Kotli,33.5216412,73.9076096
23,Lahore,31.5656822,74.3141829
24,Mianwali,32.5705533,71.5239763
25,Multan,30.197838,71.4719683
26,Murree,33.9056829,73.392674
27,Muzaffarabad,34.3734751,73.4702407
28,Nawabshah,26.2452915,68.4040229
29,Nokkundi,28.8239333,62.7454306
30,Padidan,26.7819818,68.2796342
31,Panjgur,26.9616074,64.1153339
32,Parachinar,33.8967938,70.1000564
33,Pasni,25.264384,63.4723455
34,Peshawar,34.0123846,71.5787458
35,Quetta,30.1957677,67.0172447
36,Rohri,27.6776538,68.9124229
37,Saidu Sharif,34.7447334,72.3562789
38,Sargodha,32.0889657,72.6776943
39,Sialkot,32.4935378,74.5411575
40,Sibi,29.5500097,67.8833398
41,Skardu,35.2875284,75.6074375
42,DG khan,30.0321374,70.6401114
